codigo_iso3,codigo_m49,nombre_es,area_codigo,area_nombre,tipo_entidad,incluir_calculos,superficie_km2,anio_superficie,poblacion_2025,poblacion_2050,edad_mediana_2025,fuente_superficie,fuente_poblacion,estado_revision,observaciones_datos
IDN,360,Indonesia,APC,Asia-Pacífico,PAIS_SOBERANO,SI,1892555.5,2023.0,285721230.0,320712943.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
IRN,364,Irán,MDE,Oriente Medio,PAIS_SOBERANO,SI,1622500.0,2023.0,92417684.0,101861995.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
IRQ,368,Iraq,MDE,Oriente Medio,PAIS_SOBERANO,SI,434130.0,2023.0,47020778.0,71928759.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
IRL,372,Ireland,EUR,Europa,PAIS_SOBERANO,SI,68890.0,2023.0,5308035.0,5970040.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
ISR,376,Israel,MDE,Oriente Medio,PAIS_SOBERANO,SI,21640.0,2023.0,9517182.0,13092723.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
ITA,380,Italy,EUR,Europa,PAIS_SOBERANO,SI,295720.0,2023.0,59146263.0,51891098.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
CIV,384,Côte d'Ivoire,AFR,África,PAIS_SOBERANO,SI,318000.0,2023.0,32711546.0,55746985.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
JAM,388,Jamaica,NAC,Norteamérica y Caribe,PAIS_SOBERANO,SI,10830.0,2023.0,2837080.0,2454944.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
JPN,392,Japan,APC,Asia-Pacífico,PAIS_SOBERANO,SI,364569.24,2023.0,123103480.0,105123163.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
KAZ,398,Kazakhstan,RUE,Rusia y Eurasia postsoviética,PAIS_SOBERANO,SI,2699700.0,2023.0,20843758.0,26544266.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
JOR,400,Jordan,MDE,Oriente Medio,PAIS_SOBERANO,SI,88794.0,2023.0,11520687.0,16367354.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
KEN,404,Kenya,AFR,África,PAIS_SOBERANO,SI,580876.28,2023.0,57532491.0,83593234.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
PRK,408,Corea del Norte,APC,Asia-Pacífico,PAIS_SOBERANO,SI,120410.0,2023.0,26571043.0,25787129.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
KOR,410,Corea del Sur,APC,Asia-Pacífico,PAIS_SOBERANO,SI,97600.0,2023.0,51667035.0,45143134.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
KWT,414,Kuwait,MDE,Oriente Medio,PAIS_SOBERANO,SI,17820.0,2023.0,5026079.0,6367757.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
KGZ,417,Kyrgyzstan,RUE,Rusia y Eurasia postsoviética,PAIS_SOBERANO,SI,191800.0,2023.0,7295037.0,9642949.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
LAO,418,Lao People's Democratic Republic,APC,Asia-Pacífico,PAIS_SOBERANO,SI,230800.0,2023.0,7873048.0,9757284.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
LBN,422,Lebanon,MDE,Oriente Medio,PAIS_SOBERANO,SI,10230.0,2023.0,5849423.0,6999262.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
LSO,426,Lesotho,AFR,África,PAIS_SOBERANO,SI,30360.0,2023.0,2363330.0,2993088.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
LVA,428,Latvia,EUR,Europa,PAIS_SOBERANO,SI,62230.0,2023.0,1853560.0,1513807.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
LBR,430,Liberia,AFR,África,PAIS_SOBERANO,SI,96320.0,2023.0,5731206.0,8910534.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
LBY,434,Libya,AFR,África,PAIS_SOBERANO,SI,1759540.0,2023.0,7458554.0,9260610.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
LIE,438,Liechtenstein,EUR,Europa,PAIS_SOBERANO,SI,160.0,2023.0,40154.0,43024.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
LTU,440,Lithuania,EUR,Europa,PAIS_SOBERANO,SI,62600.0,2023.0,2830150.0,2258767.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
LUX,442,Luxembourg,EUR,Europa,PAIS_SOBERANO,SI,2574.4602,2023.0,680454.0,791461.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
MAC,446,Macao,CHN,China,REGION_ESPECIAL,SEGUN_FUENTE,33.0,2023.0,722018.0,668856.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
MDG,450,Madagascar,AFR,África,PAIS_SOBERANO,SI,581800.0,2023.0,32740682.0,53185473.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
MWI,454,Malawi,AFR,África,PAIS_SOBERANO,SI,94280.0,2023.0,22216118.0,37361675.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
