codigo_iso3,codigo_m49,pais,area_codigo,gasto_militar_usd,gasto_militar_pct_pib,anio_gasto,fuente_gasto,estado_revision,observaciones
MAR,504,Morocco,AFR,6330727244.328332,0.035431055025931676,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
MOZ,508,Mozambique,AFR,468062039.7932007,0.018654788323732446,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
OMN,512,Oman,MDE,5988296488.946684,0.05682376091700867,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
NAM,516,Namibia,AFR,410522284.1614994,0.027663322168259792,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
NRU,520,Nauru,APC,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Sin dato SIPRI usable para 2025/2024 en esta entidad.
NPL,524,Nepal,SAI,428290814.1303412,0.009657444785825284,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
NLD,528,Netherlands,EUR,28944340410.17079,0.021945445152637934,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
CUW,531,Curaçao,NAC,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Entidad SEGUN_FUENTE; no imputar cero si SIPRI no publica valor separado. Sin dato SIPRI usable para 2025/2024 en esta entidad.
ABW,533,Aruba,NAC,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Entidad SEGUN_FUENTE; no imputar cero si SIPRI no publica valor separado. Sin dato SIPRI usable para 2025/2024 en esta entidad.
SXM,534,Sint Maarten (Dutch part),NAC,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Entidad SEGUN_FUENTE; no imputar cero si SIPRI no publica valor separado. Sin dato SIPRI usable para 2025/2024 en esta entidad.
BES,535,"Bonaire, Sint Eustatius and Saba",NAC,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Entidad SEGUN_FUENTE; no imputar cero si SIPRI no publica valor separado. Sin dato SIPRI usable para 2025/2024 en esta entidad.
