codigo_indicador,codigo_pais,codigo_area,incluido,motivo
POB_URB,DOM,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SLV,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,GRL,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,GRD,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,GLP,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,GTM,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,HTI,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,HND,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,JAM,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MTQ,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MEX,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MSR,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,CUW,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,ABW,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SXM,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,BES,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,NIC,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,PAN,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,PRI,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,BLM,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,KNA,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,AIA,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,LCA,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MAF,NAC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SPM,NAC,NO,No existe serie nacional de poblacion urbana incorporada
